statement_id,chapter_id,text,source_document
st_intro_1,ch_intro,"Medicare and Medicaid fraud and abuse continues to remain a top priority for the government. In light of the seriousness of fraud and abuse offenses, ongoing enforcement activity, and associated criminal and civil penalties, physicians need to continue their compliance efforts to ensure that they are abiding by all relevant state and federal laws governing fraud and abuse-related violations.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
st_intro_2,ch_intro,"The federal government through its Office of Inspector General (OIG) has taken a pledge to continue working with the provider community and to promote the adoption of voluntary compliance programs, including issuing compliance program guidance, special fraud alerts, and advisory opinions.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
st_intro_3,ch_intro,The Massachusetts Medical Society (MMS) has put together this booklet in an attempt to assist physicians with their ongoing compliance efforts. The information contained within these pages is not intended to meet individual physician's needs but rather to serve as a general reference and educational guide. Physicians are encouraged to seek advice from their own counsel to address specific legal issues that arise in their individual practices.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
st_1_flexible,ch_1,"Unlike past compliance guidance for hospitals, clinical laboratories, third-party billing companies, and other institutional providers, where the OIG rigidly recommends implementing seven standard compliance plan elements, in the Compliance Program Guidance for Individual and Small Group Physician Practices, the OIG takes a more flexible approach and recognizes the administrative and financial constraints facing physician practices. Specifically, this guidance sets out a step-by-step process designed to allow physicians to pick and choose which of these seven elements can be implemented efficiently.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
st_1_voluntary,ch_1,"It is recommended, therefore, that physician practices attempt to follow the OIG's step-by-step process and develop a compliance plan tailored to meet the needs of the practice. At the same time, it must be emphasized that these compliance guidelines are entirely voluntary. The key should be that whatever approach is undertaken, in the event of an audit or investigation, the practice must be able to demonstrate the efforts it took to monitor compliance.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
st_1_priority,ch_1,"The OIG's compliance guidance prioritizes which steps a small physician practice should take when developing a compliance program. Importantly, the OIG attempts to maximize the benefit physicians receive from compliance plans by indicating that as a first step “physician practices can begin by adopting only those components which, based on a practice's specific history with billing problems and other compliance issues, are most likely to provide an identifiable benefit.” The OIG recognizes that some practices “may never fully implement all of the [seven] components.” Instead, each practice should develop a compliance program that is workable and reflective of the individual practice. Irrespective of whatever procedures and protocols are adopted by a practice, the most important element of an effective compliance program is commitment by the physician members of the practice.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
st_1_large_practices,ch_1,"There is no set-in-stone number of physicians that makes a practice too large to follow this guidance. What is important, however, is that a larger group practice attempt to implement as many components as possible. Practices should remember that the ultimate goal in developing a compliance plan is to make a good faith effort to monitor and prevent fraud, abuse, and billing errors. If a large practice takes minimal preventative steps, it is unlikely to be viewed by investigators as being effective at ensuring compliance.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
st_1_individual,ch_1,"Conversely, it is important for even an individual practitioner to implement some form of compliance program. Individual practitioners face many of the same billing issues, staff issues, and risk areas that are faced by larger groups. An individual practitioner should identify potential risk areas and develop and document policies and standards addressing these areas.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
st_1_evolve,ch_1,"All compliance plans should evolve as time passes. As new regulations are promulgated and as new OIG fraud alerts are issued, practices should reevaluate their compliance plans to ensure that they effectively address any risk areas. Moreover, a compliance plan should evolve to address the changing nature of the practice for which it was originally formed.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
st_2_overlap,ch_2,"There are a number of overlapping federal and state statutes relating to health care fraud and abuse. From a physician's perspective, the following is a summary of the criminal, civil, and administrative statutes most commonly used to prosecute and sanction health care fraud and abuse.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
st_5_1,ch_5,"Reducing the potential for inaccurate billing practices and creating a climate of compliance with the law are the primary reasons for implementing and maintaining a compliance plan. It is far less expensive to develop a compliance program to prevent mistakes from being made than to defend a Medicare post-payment audit based on a statistical sampling of paid claims that can result in a demand for repayment of an extrapolated amount of money. At the same time, the process of developing a compliance program allows the involved physicians to better understand how the practice is actually operating. In fact, the development of a compliance program is more akin to the implementation of an overall risk-management program for the practice.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
st_5_2,ch_5,"Finally, physicians practicing in today's complex and highly regulated environment must realize that compliance means more than simply adopting a boilerplate document labeled compliance plan. The key to an effective compliance plan is for the practice to establish a culture of ethical behavior and compliance within the practice. Employees must understand that every member of the practice, from physicians to billing personnel and clerical staff, is expected to behave legally and ethically at all times.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
st_5_3,ch_5,"Both employees and colleagues need to be encouraged to come forward with any questions they may have about billing issues or other business-related or patient-care matters that they do not understand or do not believe are being handled correctly. Not only should a practice have an “open door” policy, but it may wish to install a complaint/suggestion box for this purpose for timid or reluctant employees who may not want to raise an issue directly with the “compliance officer.” In all cases, when an issue is raised, the practice must provide the individual with an honest answer and/or solution to the problem. Finally, employees should feel comfortable coming forward with a compliance issue or concern, without fear of retaliation.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
