example_id,statute_id,example_type,text,source_document
ex_hcf_1,stat_hcf_1347,Prohibited conduct,Billing for services never provided to patients.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_hcf_2,stat_hcf_1347,Prohibited conduct,“Upcoding”: billing for more extensive services than were actually rendered.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_hcf_3,stat_hcf_1347,Prohibited conduct,"Falsely certifying that services were medically necessary. Note: On every HCFA 1500 claim form, a physician must certify that the services rendered were medically necessary for the health of the beneficiary.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_hcf_4,stat_hcf_1347,Prohibited conduct,“Unbundling”: billing for each component of the service instead of billing an all-inclusive code.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_hcf_5,stat_hcf_1347,Prohibited conduct,Billing for non-covered services as if covered.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_hcf_6,stat_hcf_1347,Prohibited conduct,"Flagrant and persistent overutilization of medical services with little or no regard for results, the patient's ailments, condition, or medical needs.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_hcf_7,stat_hcf_1347,Prohibited conduct,"Consistent use of improper or inappropriate billing codes, such as billing for the same level of service or diagnosis code irrespective of the services rendered in the individual case.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_hcf_8,stat_hcf_1347,OIG example,A physician intentionally billed Medicare for treatments that he never actually rendered for the purpose of fraudulently obtaining Medicare payments.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_hcf_9,stat_hcf_1347,OIG example,"A psychiatrist billed Medicare, Medicaid, TRICARE, and private insurers for psychiatric services that were provided by his nurses rather than himself.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_hcf_10,stat_hcf_1347,OIG example,A physician intentionally upcoded the level of E&M service rendered to patients to increase Medicare payments.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_1035_1,stat_false_stmt_1035,Example,An example would be a physician who certified on a claim form that he performed laser surgery on a Medicare beneficiary when he knew that the surgery was not actually performed on the patient.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_669_1,stat_theft_669,Example,An example of conduct punishable under this statute would be an office manager for a physician who knowingly embezzles money from the practice's bank account that includes reimbursement received from the Medicare program.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_fca287_1,stat_fca_criminal_287,Prohibited conduct,Billing for services that were not rendered;,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_fca287_2,stat_fca_criminal_287,Prohibited conduct,Filing claims for services billed at inflated rates; and/or,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_fca287_3,stat_fca_criminal_287,Prohibited conduct,Filling for services that were not medically necessary.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_mw_1,stat_mail_wire,OIG example,A physician knowingly and repeatedly submits electronic claims to the Medicare carrier for office visits that he did not actually provide to Medicare beneficiaries with the intent to obtain payments from Medicare for services he never performed.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_mw_2,stat_mail_wire,OIG example,A neurologist knowingly submitted claims for tests that were not reasonable and necessary and intentionally upcoded office visits and electromyograms to Medicare.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_mmppa_1,stat_mmppa_1987,Prohibited conduct,"Misrepresenting services actually rendered (e.g., upcoding) and","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_mmppa_2,stat_mmppa_1987,Prohibited conduct,Falsely certifying that certain services were medically necessary.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_obs_1,stat_obstruction_1518,Example,"A physician instructs his employees to tell OIG investigators that he personally performs all treatments when, in fact, medical technicians do the majority of the treatment and the doctor is rarely present in the office.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_obs_2,stat_obstruction_1518,Example,A physician under investigation by the FBI for reported fraudulent billings alters his patient records in an attempt to cover up the improprieties.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_obs_3,stat_obstruction_1518,Example,A physician intentionally fails to produce certain records during an investigation because they could incriminate him.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_aks_1,stat_aks,Violating conduct,Routinely waiving co-payments or deductibles for patients without determining if the patient has financial hardship.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ex_aks_2,stat_aks,Violating conduct,Accepting payments to sign Certificates of Medical Necessity for durable medical equipment for patients never examined.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
