subcriterion_id,criterion_id,area_id,criterion_type,sharpens,text,source_document
OIS-01.01B,OIS-01,OIS,basic,,"The cloud service provider maintains an ISO/IEC 27001-compliant information security management system (ISMS). The scope of the ISMS covers the cloud service provider’s organisational units, locations, zones, regions and procedures relevant to the development and operation of the cloud service.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
OIS-01.02B,OIS-01,OIS,basic,,"The measures for setting up, implementing, maintaining and continuously improving the ISMS are documented. The documentation includes: 1. Context of the cloud service provider; 2. Scope of the ISMS (section 4.3 of ISO/IEC 27001); 3. Statement of applicability (section 6.1.3 of ISO/IEC 27001); 4. Overview of how activities in the ISMS cover the cloud service; 5. Description of how the cloud service provider maintains and improves the cloud service’s security; and 6. Results of the last management review (section 9.3 of ISO/IEC 27001).","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
OIS-01.03B,OIS-01,OIS,basic,,"Additionally, the cloud service provider documents the scope and boundaries of the cloud service under its operational control, including any exclusions or shared-responsibility areas.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
OIS-01.01AS,OIS-01,OIS,additional_sharpening,OIS-01.01B,"The Information Security Management System (ISMS) has a valid certification according to ISO/IEC 27001 or ISO 27001 based on BSI IT-Grundschutz. The scope of the certification covers the cloud service provider’s organisational units, locations, zones, regions, and procedures relevant to the development and operation of the cloud service.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
OIS-01.01AC,OIS-01,OIS,additional_complementing,,"Existing valid certifications according to ISO/IEC 27001 are issued and recognised by an accredited certification body. Basic Criteria, Additional Criteria, Supplementary Information","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
OIS-02.01B,OIS-02,OIS,basic,,Top management of the cloud service provider has adopted an information security policy.,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
OIS-02.02B,OIS-02,OIS,basic,,Top management of the cloud service provider has communicated the information security policy to internal and external personnel as well as cloud service customers.,"BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
OIS-02.03B,OIS-02,OIS,basic,,"The information security policy describes: 1. The importance of information security, based on the requirements of cloud service customers in relation to information security; 2. The security objectives and the desired security level, based on the business goals and activities as well as compliance obligations of the cloud service provider; 3. The cloud service provider’s commitment to implement the necessary security measures for fulfilling the established security objectives; 4. The most important aspects of the security strategy to achieve the security objectives set; and 5. The organisational structure for information security in the scope of the ISMS.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
OIS-03.01B,OIS-03,OIS,basic,,"The cloud service provider establishes, documents, and communicates a Shared Security Responsibility Model (SSRM) to define and manage interfaces and dependencies between cloud service delivery activities performed by the cloud service provider and those performed by cloud service customers.","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
OIS-03.02B,OIS-03,OIS,basic,,"The SSRM documentation clearly defines the responsibilities between both parties for handling vulnerabilities, security incidents, and incidents. The type and scope of the documentation is geared towards the information requirements of the subject matter experts of the affected organisations in order to carry out the activities appropriately (e.g. definition of roles and responsibilities in guidelines, description of cooperation obligations in service descriptions and contracts).","BSI Cloud Computing Compliance Criteria Catalogue (C5:2026), Version 1.0.1, Federal Office for Information Security (Germany) - KB 2/Germany/BSI Cloud Computing Compliance Controls Catalogue.pdf"
