paragraph_id,article_id,article_number,paragraph_number,citation,text,source_document
art_1_p0,art_1,1,,Art. 1,This Act has the purpose of protecting the personality and fundamental rights of natural persons whose personal data is processed.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_2_p1,art_2,2,1,Art. 2 para. 1,This Act applies to the processing of personal data of natural persons by:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_2_p2,art_2,2,2,Art. 2 para. 2,It does not apply to:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_2_p3,art_2,2,3,Art. 2 para. 3,The applicable procedural law regulates the processing of personal data and the data subject's rights in court proceedings and in proceedings governed by federal procedural regulations. This Act applies to first instance administrative proceedings.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_2_p4,art_2,2,4,Art. 2 para. 4,"The public registers for private legal transactions, and in particular the access to these registers and the data subject's rights, shall be regulated by the specific provisions of the applicable federal law. If the specific provisions do not contain any rules, this Act applies.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_3_p1,art_3,3,1,Art. 3 para. 1,"This Act applies to circumstances that have an effect in Switzerland, even if they were initiated abroad.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_3_p2,art_3,3,2,Art. 3 para. 2,"For rights under private law, the Federal Act of 18 December 1987 on Private International Law applies. In addition, the provisions on the territorial scope of application of the Criminal Code are reserved.",KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_4_p1,art_4,4,1,Art. 4 para. 1,The Federal Data Protection and Information Commissioner (FDPIC) supervises the application of the federal data protection regulations.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_4_p2,art_4,4,2,Art. 4 para. 2,The following are exempted from supervision by the FDPIC:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_5_p0,art_5,5,,Art. 5,In this Act:,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_6_p1,art_6,6,1,Art. 6 para. 1,Personal data must be processed lawfully.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_6_p2,art_6,6,2,Art. 6 para. 2,The processing must be carried out in good faith and be proportionate.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_6_p3,art_6,6,3,Art. 6 para. 3,Personal data may only be collected for a specific purpose that the data subject can recognise; personal data may only be further processed in a manner that is compatible with this purpose.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_6_p4,art_6,6,4,Art. 6 para. 4,They shall be destroyed or anonymised as soon as they are no longer required for the purpose of processing.,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
