clause_id,parent_id,label,citation,level,text,source_document
CL-3J-1,DEF-3J,(1),Section 3J(1),paragraph,"Knowledge factors, such as a password; or","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-3J-2,DEF-3J,(2),Section 3J(2),paragraph,"Possession factors, such as a token or text message on a mobile phone; or","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-3J-3,DEF-3J,(3),Section 3J(3),paragraph,"Inherence factors, such as a biometric characteristic.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-3K-1,DEF-3K,(1),Section 3K(1),paragraph,"Business related information of a Licensee the tampering with which, or unauthorized disclosure, access or use of which, would cause a material adverse impact to the business, operations or security of the Licensee;","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-3K-2,DEF-3K,(2),Section 3K(2),paragraph,"Any information concerning a Consumer which because of name, number, personal mark, or other identifier can be used to identify such Consumer, in combination with any one or more of the following data elements:","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-3K-2-a,CL-3K-2,(a),Section 3K(2)(a),subparagraph,"Social Security number,","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-3K-2-b,CL-3K-2,(b),Section 3K(2)(b),subparagraph,"Driver’s license number or non-driver identification card number,","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-3K-2-c,CL-3K-2,(c),Section 3K(2)(c),subparagraph,"Account number, credit or debit card number,","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-3K-2-d,CL-3K-2,(d),Section 3K(2)(d),subparagraph,"Any security code, access code or password that would permit access to a Consumer’s financial account, or","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-3K-2-e,CL-3K-2,(e),Section 3K(2)(e),subparagraph,Biometric records;,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-3K-3,DEF-3K,(3),Section 3K(3),paragraph,"Any information or data, except age or gender, in any form or medium created by or derived from a health care provider or a Consumer and that relates to","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-3K-3-a,CL-3K-3,(a),Section 3K(3)(a),subparagraph,"The past, present or future physical, mental or behavioral health or condition of any Consumer or a member of the Consumer's family,","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-3K-3-b,CL-3K-3,(b),Section 3K(3)(b),subparagraph,"The provision of health care to any Consumer, or","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-3K-3-c,CL-3K-3,(c),Section 3K(3)(c),subparagraph,Payment for the provision of health care to any Consumer.,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-3M-1,DEF-3M,(1),Section 3M(1),paragraph,That the information is of the type that is available to the general public; and,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-3M-2,DEF-3M,(2),Section 3M(2),paragraph,"Whether a Consumer can direct that the information not be made available to the general public and, if so, that such Consumer has not done so.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4B-1,SUB-4B,(1),Section 4B(1),paragraph,Protect the security and confidentiality of Nonpublic Information and the security of the Information System;,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4B-2,SUB-4B,(2),Section 4B(2),paragraph,Protect against any threats or hazards to the security or integrity of Nonpublic Information and the Information System;,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4B-3,SUB-4B,(3),Section 4B(3),paragraph,"Protect against unauthorized access to or use of Nonpublic Information, and minimize the likelihood of harm to any Consumer; and","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4B-4,SUB-4B,(4),Section 4B(4),paragraph,Define and periodically reevaluate a schedule for retention of Nonpublic Information and a mechanism for its destruction when no longer needed.,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4C-1,SUB-4C,(1),Section 4C(1),paragraph,"Designate one or more employees, an affiliate, or an outside vendor designated to act on behalf of the Licensee who is responsible for the Information Security Program;","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4C-2,SUB-4C,(2),Section 4C(2),paragraph,"Identify reasonably foreseeable internal or external threats that could result in unauthorized access, transmission, disclosure, misuse, alteration or destruction of Nonpublic Information, including the security of Information Systems and Nonpublic Information that are accessible to, or held by, Third-Party Service Providers;","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4C-3,SUB-4C,(3),Section 4C(3),paragraph,"Assess the likelihood and potential damage of these threats, taking into consideration the sensitivity of the Nonpublic Information;","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-4C-4,SUB-4C,(4),Section 4C(4),paragraph,"Assess the sufficiency of policies, procedures, Information Systems and other safeguards in place to manage these threats, including consideration of threats in each relevant area of the Licensee’s operations, including:","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
