source_id,target_id,rel_type,reference_text
art_7_2,art_5,CROSS_REFERENCES,the controls stipulated in Article (5)
art_9_3,art_9_1,CROSS_REFERENCES,in accordance with Clause (1) of this Article
art_9_4,art_26,CROSS_REFERENCES,impose the administrative penalties referred to in Article (26) of this Decree by Law
art_12_1,art_11,CROSS_REFERENCES,as stipulated in Article (11) of this Decree by Law
art_13_1_g,art_22,CROSS_REFERENCES,Protection measures for cross-border processing carried out in accordance with Articles (22) and (23) of this By-Law.
art_13_1_g,art_23,CROSS_REFERENCES,Protection measures for cross-border processing carried out in accordance with Articles (22) and (23) of this By-Law.
art_13_2,art_13_1,CROSS_REFERENCES,"the information stipulated in paragraphs (b), (d) and (g) of Paragraph (1) of this Article"
art_13_3,art_13_1,CROSS_REFERENCES,the information mentioned in Paragraph (1) of this Article
art_15_3,art_15_2,CROSS_REFERENCES,As an exception to what is stated in Paragraph (2) of this Article
art_16_3,art_16_1,CROSS_REFERENCES,Notwithstanding what is stated in Paragraph (1) of this Article
art_17_3,art_5,CROSS_REFERENCES,If the processing is carried out in violation of Article (5) of this Decree by Law.
art_18_2,art_18_1,CROSS_REFERENCES,Notwithstanding Paragraph 1 of this Article
art_18_2_c,art_6,CROSS_REFERENCES,as set out in Article (6) of this Decree by Law
art_18_3,art_18_2,CROSS_REFERENCES,in the cases referred to in Paragraph 2 of this article
art_20_2,art_20_1,CROSS_REFERENCES,as set out in Paragraph1 of this Article
art_21_2,art_21_1,CROSS_REFERENCES,The assessment of the impact provided for in Paragraph (1) of this Article
art_21_3,art_21_1,CROSS_REFERENCES,The assessment stipulated in Paragraph (1) of this Article
art_23_1,art_22,CROSS_REFERENCES,Notwithstanding Article (22) of this Decree by Law
art_23_2,art_23_1,CROSS_REFERENCES,the controls and stipulations referred to in Paragraphs (1) of this Article
art_24_3,art_26,CROSS_REFERENCES,the administrative penalties referred to in Article (26) of this Decree by Law
art_1,cit_fdl_44_2021,CROSS_REFERENCES,Office: The UAE Data Bureau established under the aforementioned Federal Decree by Law No. (44) of 2021
